2022-11-28 19:45:55[WARN]  Block 'TIM:HMISubsystem' have no individuals. But it better have
2022-11-28 19:45:55[INFO]  Create rule: TIM:BlockFunction(TIM:end_vehicle)->TIM:mapToBF(TIM:End_Vehicle,TIM:end_vehicle)^TIM:mapToAN(TIM:end_vehicle,TIM:End_Vehicle)
2022-11-28 19:45:55[INFO]  Create rule: TIM:BlockFunction(TIM:control_actuators)->TIM:mapToBF(TIM:Control_Actuators,TIM:control_actuators)^TIM:mapToAN(TIM:control_actuators,TIM:Control_Actuators)
2022-11-28 19:45:55[INFO]  Create rule: TIM:BlockFunction(TIM:start_vehicle)->TIM:mapToBF(TIM:Start_Vehicle,TIM:start_vehicle)^TIM:mapToAN(TIM:start_vehicle,TIM:Start_Vehicle)
2022-11-28 19:45:55[INFO]  Create rule: TIM:BlockFunction(TIM:perceive_environment_autocar)->TIM:mapToBF(TIM:Perceive_Environment_AutoCar,TIM:perceive_environment_autocar)^TIM:mapToAN(TIM:perceive_environment_autocar,TIM:Perceive_Environment_AutoCar)
2022-11-28 19:45:55[INFO]  Create rule: TIM:BlockFunction(TIM:derive_local_costmap)->TIM:mapToBF(TIM:Derive_Local_Costmap,TIM:derive_local_costmap)^TIM:mapToAN(TIM:derive_local_costmap,TIM:Derive_Local_Costmap)
2022-11-28 19:45:55[INFO]  Create rule: TIM:BlockFunction(TIM:derive_global_costmap)->TIM:mapToBF(TIM:Derive_Global_Costmap,TIM:derive_global_costmap)^TIM:mapToAN(TIM:derive_global_costmap,TIM:Derive_Global_Costmap)
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:get_digital_map)->TIM:mapToBF(TIM:Get_Digital_Map,TIM:get_digital_map)^TIM:mapToAN(TIM:get_digital_map,TIM:Get_Digital_Map)
2022-11-28 19:45:56[WARN]  Block  'TIM:get_digital_map' doesn't exist.
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:get_destination)->TIM:mapToBF(TIM:Get_Destination,TIM:get_destination)^TIM:mapToAN(TIM:get_destination,TIM:Get_Destination)
2022-11-28 19:45:56[WARN]  Block  'TIM:get_destination' doesn't exist.
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:gene_digital_map_detail)->TIM:mapToBF(TIM:Gene_Digital_Map_Detail,TIM:gene_digital_map_detail)^TIM:mapToAN(TIM:gene_digital_map_detail,TIM:Gene_Digital_Map_Detail)
2022-11-28 19:45:56[WARN]  Block  'TIM:gene_digital_map_detail' doesn't exist.
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:sendsignal1)->TIM:mapToBF(TIM:SendSignal1,TIM:sendsignal1)^TIM:mapToAN(TIM:sendsignal1,TIM:SendSignal1)
2022-11-28 19:45:56[WARN]  Block  'TIM:sendsignal1' doesn't exist.
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:gene_destination_point)->TIM:mapToBF(TIM:Gene_Destination_Point,TIM:gene_destination_point)^TIM:mapToAN(TIM:gene_destination_point,TIM:Gene_Destination_Point)
2022-11-28 19:45:56[WARN]  Block  'TIM:gene_destination_point' doesn't exist.
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:broadcast_start_vehicle)->TIM:mapToBF(TIM:BroadCast_Start_Vehicle,TIM:broadcast_start_vehicle)^TIM:mapToAN(TIM:broadcast_start_vehicle,TIM:BroadCast_Start_Vehicle)
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:broadcast_end_vehicle)->TIM:mapToBF(TIM:BroadCast_End_Vehicle,TIM:broadcast_end_vehicle)^TIM:mapToAN(TIM:broadcast_end_vehicle,TIM:BroadCast_End_Vehicle)
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:gene_trajectory)->TIM:mapToBF(TIM:Gene_Trajectory,TIM:gene_trajectory)^TIM:mapToAN(TIM:gene_trajectory,TIM:Gene_Trajectory)
2022-11-28 19:45:56[INFO]  Create rule: TIM:BlockFunction(TIM:gene_offline_path)->TIM:mapToBF(TIM:Gene_Offline_Path,TIM:gene_offline_path)^TIM:mapToAN(TIM:gene_offline_path,TIM:Gene_Offline_Path)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_2830AA32_F48D_4949_B76E_8518C4AE27E8")->TIM:hasSource(TIM:ControlFlow3,?n)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_61B5FE0D_BD08_4dd4_A757_D5440F1B6D72")->TIM:hasTarget(TIM:ControlFlow4,?n)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_48E50EC8_1FE5_4a98_843A_02857123DFA7")->TIM:hasSource(TIM:ControlFlow6,?n)
2022-11-28 19:45:56[INFO]  Create rule: TIM:SpecialNode(?n)^TIM:hasXmiID(?n,"EAID_48E50EC8_1FE5_4a98_843A_02857123DFA7")->TIM:hasSource(TIM:ControlFlow7,?n)
